"Company","Role","Location","Application/Link","Date Posted"
"↳","Summer Intern - Research Informatics","San Diego, CA","<a href="https://arrowheadpharma.com/careers/?gh_jid=4267783007&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/8837878b-e04f-4516-9ccd-b6177f183c05?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 26"
"**[Cadence Design Systems](https://simplify.jobs/c/Cadence-Design-Systems)**","Software Engineering Intern - LLM Tensilica Customer Support - Summer 2024","San Jose, CA","<a href="https://cadence.wd1.myworkdayjobs.com/en-US/External_Careers/job/SAN-JOSE/Software-Engineering-Intern--LLM-Tensilica-Customer-Support---Summer-2024-_R45757-1?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/2f3b5e92-278f-41cc-b00f-1a0e7d53580e?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 24"
"**[Ample](https://simplify.jobs/c/Ample)**","Full Stack Software Engineer INTERN - Summer 2024","SF","<a href="https://ample.com/jobs?gh_jid=4328581005&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/a14c5352-a5da-4b5b-9a4f-93e8c1d3858c?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 24"
"**[Roku](https://simplify.jobs/c/Roku)**","Core Analytics Intern - Ads","NYC","<a href="https://www.weareroku.com/jobs/5742145?gh_jid=5742145&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/0cc1c34a-26a8-4bda-95fc-50015857cba5?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 23"
"**[Rivian](https://simplify.jobs/c/Rivian)**","Engineering Intern - Industrial Engineering","Normal, IL","<a href="https://careers.rivian.com/jobs/16704?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/9e1114a3-ac8b-424a-8fef-57ce176b2995?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 23"
"↳","UIUC Research Park Intern - Embedded Systems Software Engineer","Urbana, IL","<a href="https://careers.rivian.com/jobs/16695?lang=en-us&icims=1&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/707e7608-fdb1-4a20-a1b9-fc69c8c7cb9d?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 23"
"**[Gametime](https://simplify.jobs/c/Gametime)**","Data Engineering Summer Intern","United States","<a href="https://jobs.lever.co/gametime/00b5e4ef-3bd0-4594-91b8-25d7f8696f25/apply?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/7c45ec85-8f97-4116-9cc8-10e16567c87b?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 23"
"**[Databricks](https://simplify.jobs/c/Databricks)**","IT Software Engineering Intern - 2024","Mountain View, CA","<a href="https://boards.greenhouse.io/embed/job_app?token=6955458002&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/eb401165-358b-48ad-ab3b-001508f57677?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 23"
"**[Snowflake](https://simplify.jobs/c/Snowflake)**","Data Science Intern - Summer 2024","San Mateo, CA","<a href="https://boards.greenhouse.io/embed/job_app?token=7256332002&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/5eeecfe7-c947-4ed8-a408-41027de167a6?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 22"
"**[Aurora Innovation](https://simplify.jobs/c/Aurora-Innovation)**","Embedded Software Intern","Bozeman, MT","<a href="https://boards.greenhouse.io/aurorainnovation/jobs/7240893002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/9afe9de1-a774-4bbd-b642-6d9952fafedb?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 22"
"**[Addepar](https://simplify.jobs/c/Addepar)**","Software Engineer Intern - IDX","Edinburgh, UK","<a href="https://boards.greenhouse.io/addepar1/jobs/7120763002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/bbac8202-2617-481b-99cd-fcb3674222c0?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 21"
"**[Western Digital](https://simplify.jobs/c/Western-Digital)**","Intern – SSD System Design Engineer","Longmont, CO","<a href="https://jobs.smartrecruiters.com/WesternDigital/743999968919113?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/8183d16b-7871-4072-9615-9424bcd62eb5?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"**[Roku](https://simplify.jobs/c/Roku)**","Software Engineer Intern","Austin, TX","<a href="https://www.weareroku.com/jobs/5724567?gh_jid=5724567&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/e9a4c863-16cf-4773-b888-cc63c9151e9e?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"↳","Software Engineer Intern","San Jose, CA","<a href="https://www.weareroku.com/jobs/5724568?gh_jid=5724568&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/d04fdd7b-7df1-4e0b-9fe0-6db763536033?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"**[Elevance Health](https://simplify.jobs/c/elevance-health)**","Data Analyst Internship - Summer 2024 - Undergraduate","Mason, OH","<a href="https://elevancehealth.wd1.myworkdayjobs.com/en-US/ANT/job/OH-MASON-4241-IRWIN-SIMPSON-RD/Data-Analyst-Internship---Summer-2024--Undergraduate_JR106914?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/cac61383-2d07-4c85-8d3c-09d88fe3c841?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"↳","Data Analyst Internship - Summer 2024 - Undergraduate","Chicago, IL","<a href="https://elevancehealth.wd1.myworkdayjobs.com/en-US/ANT/job/IL-CHICAGO-233-S-WACKER-DR-STE-3700/Data-Analyst-Internship---Summer-2024--Undergraduate_JR106917?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/c4f8695f-4615-4291-b614-f3eaa972d36e?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"**[Dynatrace](https://simplify.jobs/c/a4d4fb56-ae6f-4f27-8256-1695f57edd50)**","Technical Support Intern","Detroit, MI","<a href="https://jobs.smartrecruiters.com/Dynatrace1/743999968896644?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/60654c29-b433-4861-b337-eedb482bd8fe?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"**[Chime](https://simplify.jobs/c/Chime)**","Software Engineer Intern - Funding Habits","SF","<a href="https://boards.greenhouse.io/chime/jobs/7214760002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/8577a290-9d3a-4549-807f-6d4a4621b8f4?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"↳","Software Engineer Intern - App Journey","SF","<a href="https://boards.greenhouse.io/chime/jobs/7214756002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/7a05d454-348d-421a-bc80-e03bf3ce738b?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"↳","Software Engineer Intern - Experimentation","SF","<a href="https://boards.greenhouse.io/chime/jobs/7214758002?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/3ea333c9-fbd3-431d-a7f1-6f4ca218eedf?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"**[Caldera](https://simplify.jobs/c/Caldera)**","Software Engineering Intern","SF","<a href="https://jobs.ashbyhq.com/Caldera/55c83409-bde2-4edb-97c5-4b57a5a74ac6/application?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/f21a4379-7670-4d6c-bc57-6cb7cd471d28?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"**[Bose](https://simplify.jobs/c/bose)**","Embedded Software Engineering Intern / Co-op","Framingham, MA","<a href="https://boseallaboutme.wd1.myworkdayjobs.com/en-US/Bose_Careers/job/US-MA---Framingham/Embedded-Software-Engineering-Intern---Co-op_R26404?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/3af3c2fb-47bb-4fe2-8df3-db62d0ef1483?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"**[Astranis](https://simplify.jobs/c/Astranis)**","Production Development – Intern - Summer 2024","SF","<a href="https://boards.greenhouse.io/astranis/jobs/4337902006?utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/5fcbbda7-a823-4b48-aa53-a4a0dda5687a?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 20"
"**[Xylem](https://simplify.jobs/c/Xylem)**","Software Engineering Intern","Morrisville, NC","<a href="https://jobs.jobvite.com/xylem/job/oX8CrfwS?nl=1&nl=1&fr=false&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/f1fb91ee-13e3-4f9d-8480-2e0142f770b7?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 19"
"**[Roku](https://simplify.jobs/c/Roku)**","Software Engineer Intern","Cambridge, UK","<a href="https://www.weareroku.com/jobs/5724550?gh_jid=5724550&utm_source=Simplify&ref=Simplify"><img src="https://i.imgur.com/w6lyvuC.png" width="84" alt="Apply"></a> <a href="https://simplify.jobs/p/478bccb0-7330-4556-9b62-beac65f56b97?utm_source=GHList"><img src="https://i.imgur.com/aVnQdox.png" width="30" alt="Simplify"></a>","Feb 19"
